Epoch 55 , SSIM 0.27102887397632003 , GDL 0.21507596655283123, TL 0.5787226546090096, DL 0.409388615982607, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.09261781413806602 
Epoch 56 , SSIM 0.3216083189472556 , GDL 0.282922116224654, TL 0.7103708549402654, DL 0.41486507887020707, DACC 98.2421875, DGACC 100.0, COLORFULLNESS 0.10584042462869547 
Epoch 57 , SSIM 0.31156310718506575 , GDL 0.22897204151377082, TL 0.6233649703208357, DL 0.4087188520934433, DACC 99.853515625, DGACC 100.0, COLORFULLNESS 0.08282982198579703 
Epoch 58 , SSIM 0.31119294883683324 , GDL 0.24763930879998952, TL 0.6470870282500982, DL 0.40674402425065637, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.08825476770289242 
Epoch 59 , SSIM 0.32360880076885223 , GDL 0.2767237381776795, TL 0.6882903780788183, DL 0.4077414539642632, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.08795783804089297 
Epoch 60 , SSIM 0.34163290867581964 , GDL 0.3706144584575668, TL 0.8031570916064084, DL 0.4230139453429729, DACC 95.263671875, DGACC 99.9267578125, COLORFULLNESS 0.09090972412377596 
Epoch 61 , SSIM 0.3534154533408582 , GDL 0.35974917106796056, TL 0.8016584315337241, DL 0.4151748490985483, DACC 96.337890625, DGACC 99.9755859375, COLORFULLNESS 0.08849380431638565 
Epoch 62 , SSIM 0.3497682339511812 , GDL 0.28790417104028165, TL 0.7368772216141224, DL 0.4081514095887542, DACC 99.560546875, DGACC 100.0, COLORFULLNESS 0.09920481349399779 
Epoch 63 , SSIM 0.35274480702355504 , GDL 0.3931003569159657, TL 0.8428884423337877, DL 0.4062708639539778, DACC 99.90234375, DGACC 100.0, COLORFULLNESS 0.09704327861982165 
Epoch 64 , SSIM 0.35081741539761424 , GDL 0.38847502670250833, TL 0.8365684598684311, DL 0.40555618214420974, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.09727601757913362 
Epoch 65 , SSIM 0.3702475777827203 , GDL 0.4255913763772696, TL 0.8901451649144292, DL 0.4124511943664402, DACC 95.5078125, DGACC 100.0, COLORFULLNESS 0.0943062145379372 
Epoch 66 , SSIM 0.35786250745877624 , GDL 0.4330409956164658, TL 0.8999105519615114, DL 0.4972137464210391, DACC 89.111328125, DGACC 98.14453125, COLORFULLNESS 0.10900704751111334 
Epoch 67 , SSIM 0.26975972251966596 , GDL 0.20837399817537516, TL 0.5667905600275844, DL 0.41010530572384596, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.08865683920157608 
Epoch 68 , SSIM 0.27533123455941677 , GDL 0.2260413063922897, TL 0.5834258515387774, DL 0.4104416149202734, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.08205330870987382 
Epoch 69 , SSIM 0.30903766863048077 , GDL 0.3014860796974972, TL 0.6953021115623415, DL 0.4098602968733758, DACC 99.951171875, DGACC 99.9755859375, COLORFULLNESS 0.08477836369274883 
