Epoch 121 , SSIM -0.25499015420675275 , GDL 0.8145605617761612, TL 0.5595704075694085, DL 1.3333913385868073, DACC 38.625, DGACC61.01562499999999 
Epoch 122 , SSIM -0.2540610888600349 , GDL 0.801230029463768, TL 0.5471689409017563, DL 1.3302439641952515, DACC 37.6875, DGACC61.234375 
Epoch 123 , SSIM -0.2563716074824333 , GDL 0.8062543171644211, TL 0.5498827111721039, DL 1.3303782618045807, DACC 38.03125, DGACC61.390625 
Epoch 124 , SSIM -0.2554240581393242 , GDL 0.8086273163557053, TL 0.5532032611966133, DL 1.3295109283924103, DACC 38.03125, DGACC61.0 
Epoch 125 , SSIM -0.254935285449028 , GDL 0.8016892093420028, TL 0.5467539224028587, DL 1.3406848776340485, DACC 39.59375, DGACC60.18750000000001 
Epoch 126 , SSIM -0.2537361481785774 , GDL 0.7946615260839462, TL 0.5409253770112992, DL 1.3488413274288178, DACC 40.75, DGACC59.5 
Epoch 127 , SSIM -0.25632044702768325 , GDL 0.7786391323804855, TL 0.5223186868429184, DL 1.3734995603561402, DACC 43.59375, DGACC56.65625 
Epoch 128 , SSIM -0.2545868845283985 , GDL 0.781031329035759, TL 0.5264444464445114, DL 1.3618005692958832, DACC 41.5625, DGACC58.46875 
Epoch 129 , SSIM -0.2550299470126629 , GDL 0.7802046579122544, TL 0.5251747107505799, DL 1.3776931154727936, DACC 43.0, DGACC56.90625 
Epoch 130 , SSIM -0.2511569581925869 , GDL 0.7805179238319397, TL 0.5293609660863876, DL 1.3625804769992829, DACC 40.8125, DGACC57.45312500000001 
Epoch 131 , SSIM -0.25414826050400735 , GDL 0.7932979965209961, TL 0.5391497370600701, DL 1.3496471095085143, DACC 41.25, DGACC58.921875 
Epoch 132 , SSIM -0.2559696969389915 , GDL 0.770765157341957, TL 0.5147954598069191, DL 1.369165381193161, DACC 45.53125, DGACC56.984375 
Epoch 133 , SSIM -0.2550902676582336 , GDL 0.7784333777427673, TL 0.5233431124687195, DL 1.3612302875518798, DACC 42.65625, DGACC57.515625 
Epoch 134 , SSIM -0.255539837628603 , GDL 0.7696787506341934, TL 0.5141389125585556, DL 1.3785471653938293, DACC 43.5, DGACC56.578125 
Epoch 135 , SSIM -0.25464928939938547 , GDL 0.7683820825815201, TL 0.5137327939271927, DL 1.3748070991039276, DACC 42.40625, DGACC56.60937499999999 
Epoch 136 , SSIM -0.25625740855932233 , GDL 0.7636456394195557, TL 0.5073882275819779, DL 1.3746090722084046, DACC 42.5625, DGACC56.15625 
Epoch 137 , SSIM -0.2562748020887375 , GDL 0.757173348069191, TL 0.5008985465764999, DL 1.3855812990665435, DACC 43.40625, DGACC55.67187500000001 
Epoch 138 , SSIM -0.2558376258611679 , GDL 0.7594216936826705, TL 0.5035840663313865, DL 1.3773071908950805, DACC 44.625, DGACC55.50000000000001 
Epoch 139 , SSIM -0.2576012174785137 , GDL 0.752963302731514, TL 0.49536208480596544, DL 1.3894043970108032, DACC 44.6875, DGACC55.25 
Epoch 140 , SSIM -0.2555939854681492 , GDL 0.7566965931653976, TL 0.5011026072502136, DL 1.381562442779541, DACC 44.71875, DGACC55.54687499999999 
Epoch 141 , SSIM -0.2572364966571331 , GDL 0.7583373016119004, TL 0.5011008042097091, DL 1.3680963826179504, DACC 43.1875, DGACC57.078125 
Epoch 142 , SSIM -0.25637235343456266 , GDL 0.7601389610767364, TL 0.5037666082382202, DL 1.3753976356983184, DACC 42.46875, DGACC56.46875 
Epoch 143 , SSIM -0.25852453991770746 , GDL 0.7512107354402542, TL 0.49268619537353514, DL 1.3800165855884552, DACC 44.65625, DGACC55.28125000000001 
Epoch 144 , SSIM -0.25955877840518954 , GDL 0.7490167951583863, TL 0.4894580182433128, DL 1.380560349225998, DACC 43.875, DGACC56.00000000000001 
Epoch 145 , SSIM -0.2549117775261402 , GDL 0.7488706648349762, TL 0.49395888835191726, DL 1.387194846868515, DACC 44.53125, DGACC54.359375 
Epoch 146 , SSIM -0.2588799473643303 , GDL 0.7493916571140289, TL 0.4905117109417915, DL 1.3755492305755614, DACC 44.15625, DGACC55.984375 
Epoch 147 , SSIM -0.25562268793582915 , GDL 0.743866810798645, TL 0.4882441222667694, DL 1.3844650280475617, DACC 45.65625, DGACC54.171875 
Epoch 148 , SSIM -0.25669960111379625 , GDL 0.7466319143772125, TL 0.4899323129653931, DL 1.3776012289524078, DACC 43.0625, DGACC55.875 
Epoch 149 , SSIM -0.25631594061851504 , GDL 0.742319165468216, TL 0.4860032242536545, DL 1.38535294175148, DACC 45.4375, DGACC54.625 
Epoch 150 , SSIM -0.2575226408243179 , GDL 0.7430381965637207, TL 0.48551555633544924, DL 1.3756778156757354, DACC 44.625, DGACC55.859375 
Epoch 151 , SSIM -0.26062454998493195 , GDL 0.7467817217111588, TL 0.4861571717262268, DL 1.3759100568294524, DACC 44.9375, DGACC55.640625 
Epoch 152 , SSIM -0.25677611425518987 , GDL 0.7511886161565781, TL 0.49441250175237655, DL 1.3708966171741486, DACC 42.8125, DGACC56.45312500000001 
Epoch 153 , SSIM -0.25623383432626723 , GDL 0.7450572270154953, TL 0.4888233923912048, DL 1.3710920536518096, DACC 45.21875, DGACC55.5625 
Epoch 154 , SSIM -0.2583817161619663 , GDL 0.7457244521379471, TL 0.48734273612499235, DL 1.371937291622162, DACC 44.25, DGACC56.00000000000001 
Epoch 155 , SSIM -0.25695930927991867 , GDL 0.7500489127635955, TL 0.4930896034836769, DL 1.3637784469127654, DACC 44.21875, DGACC56.45312500000001 
Epoch 156 , SSIM -0.26049372777342794 , GDL 0.7418007326126098, TL 0.4813070052862167, DL 1.3817141819000245, DACC 44.59375, DGACC54.6875 
Epoch 157 , SSIM -0.256762186139822 , GDL 0.7496021807193756, TL 0.492839994430542, DL 1.3690931987762451, DACC 43.8125, DGACC55.78125000000001 
Epoch 158 , SSIM -0.256061981767416 , GDL 0.749984165430069, TL 0.4939221820235252, DL 1.3703883373737336, DACC 42.0625, DGACC55.734375 
Epoch 159 , SSIM -0.2599053582549095 , GDL 0.7467536854743958, TL 0.4868483266234398, DL 1.3729515516757964, DACC 42.71875, DGACC56.56250000000001 
Epoch 160 , SSIM -0.2564105148613453 , GDL 0.7379888284206391, TL 0.48157831400632856, DL 1.3857505679130555, DACC 45.625, DGACC53.53125 
Epoch 161 , SSIM -0.26039159700274467 , GDL 0.738651630282402, TL 0.47826003342866896, DL 1.3820982885360718, DACC 45.5625, DGACC53.921875 
